opcode 580, rd 28, rt 28, rn 28, rm 0, shamt 48, aluimm 48, dtaddr 12, condaddr 1564, braddr 16827292
opcode 1712, rd 0, rt 0, rn 30, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 30, braddr -33553472
opcode 836, rd 28, rt 28, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 1052, braddr 16810908
opcode 1984, rd 30, rt 30, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 28, braddr 926
opcode 1984, rd 19, rt 19, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 1052, braddr 33683
opcode 1984, rd 20, rt 20, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 2076, braddr 66452
opcode 1984, rd 21, rt 21, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 3100, braddr 99221
opcode 580, rd 19, rt 19, rn 0, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 0, braddr 16777235
opcode 580, rd 20, rt 20, rn 1, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 1, braddr 16777268
opcode 580, rd 21, rt 21, rn 1, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 33, braddr 16778293
opcode 1690, rd 21, rt 21, rn 21, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 131125, braddr -12581195
opcode 180, rd 21, rt 21, rn 7, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 7, braddr 245
opcode 580, rd 0, rt 0, rn 19, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 19, braddr 16777824
opcode 580, rd 1, rt 1, rn 20, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 20, braddr 16777857
opcode 580, rd 2, rt 2, rn 21, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 21, braddr 16777890
opcode 37, rd 18, rt 18, rn 0, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 0, braddr 18
opcode 836, rd 21, rt 21, rn 21, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 53, braddr 16778933
opcode 5, rd 26, rt 26, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -1, braddr -6
opcode 580, rd 0, rt 0, rn 19, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 19, braddr 16777824
opcode 580, rd 1, rt 1, rn 20, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 20, braddr 16777857
opcode 580, rd 2, rt 2, rn 31, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 31, braddr 16778210
opcode 37, rd 12, rt 12, rn 0, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 0, braddr 12
opcode 1986, rd 30, rt 30, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195230
opcode 1986, rd 19, rt 19, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 132124, braddr 4227987
opcode 1986, rd 20, rt 20, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 133148, braddr 4260756
opcode 1986, rd 21, rt 21, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 134172, braddr 4293525
opcode 580, rd 28, rt 28, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 1052, braddr 16810908
opcode 1712, rd 0, rt 0, rn 30, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 30, braddr -33553472
opcode 1986, rd 9, rt 9, rn 0, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131072, braddr 4194313
opcode 1986, rd 10, rt 10, rn 1, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131073, braddr 4194346
opcode 1984, rd 10, rt 10, rn 0, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 0, braddr 10
opcode 1984, rd 9, rt 9, rn 1, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 1, braddr 41
opcode 1712, rd 0, rt 0, rn 30, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 30, braddr -33553472
opcode 836, rd 28, rt 28, rn 28, rm 0, shamt 40, aluimm 40, dtaddr 10, condaddr 1308, braddr 16819100
opcode 1984, rd 30, rt 30, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 28, braddr 926
opcode 1984, rd 19, rt 19, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 1052, braddr 33683
opcode 1984, rd 20, rt 20, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 2076, braddr 66452
opcode 1984, rd 21, rt 21, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 3100, braddr 99221
opcode 1984, rd 22, rt 22, rn 28, rm 2, shamt 0, aluimm 128, dtaddr 32, condaddr 4124, braddr 131990
opcode 580, rd 19, rt 19, rn 0, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 0, braddr 16777235
opcode 580, rd 20, rt 20, rn 1, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 1, braddr 16777268
opcode 580, rd 21, rt 21, rn 2, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 2, braddr 16777301
opcode 1691, rd 22, rt 22, rn 21, rm 0, shamt 1, aluimm -2047, dtaddr 0, condaddr 196661, braddr -10484042
opcode 580, rd 22, rt 22, rn 22, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 54, braddr 16778966
opcode 1880, rd 31, rt 31, rn 22, rm 20, shamt 0, aluimm 1280, dtaddr -192, condaddr 40982, braddr -15465761
opcode 84, rd 10, rt 10, rn 24, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 24, braddr 778
opcode 580, rd 9, rt 9, rn 22, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 54, braddr 16778953
opcode 1880, rd 10, rt 10, rn 9, rm 20, shamt 0, aluimm 1280, dtaddr -192, condaddr 40969, braddr -15466198
opcode 84, rd 10, rt 10, rn 8, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 8, braddr 266
opcode 1691, rd 10, rt 10, rn 22, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196726, braddr -10481974
opcode 1986, rd 11, rt 11, rn 10, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131082, braddr 4194635
opcode 1691, rd 9, rt 9, rn 9, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196713, braddr -10482391
opcode 1986, rd 12, rt 12, rn 9, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131081, braddr 4194604
opcode 1880, rd 31, rt 31, rn 11, rm 12, shamt 0, aluimm 768, dtaddr 192, condaddr 24587, braddr -15990401
opcode 84, rd 10, rt 10, rn 2, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 2, braddr 74
